,jobCode,synteza,nazwa_zawodu
10,333401,"Wyszukuje grunty pod nieruchomości na zlecenie firm zajmujących się obrotem nieruchomości, budowlanych i developerskich, w dużych instytucjach finansowych: w bankach hipotecznych, w koncernach z branży FMCG oraz w firmach telekomunikacyjnych np. pod różnego rodzaju instalacje w celu ich dzierżawy bądź kupna terenów; prowadzi negocjacje z klientami, przygotowuje dokumenty do przejęcia gruntów lub obiektów; negocjuje warunki transakcji i umów.",Agent do spraw pozyskiwania gruntów
11,332301,Odpowiada za organizację i funkcjonowanie działu zakupów; zajmuje się zamawianiem towarów / usług od dostawców; dba o bieżące zaopatrzenie organizacji w niezbędne towary / usługi; utrzymuje i nawiązuje relacje biznesowe z dostawcami towarów / usług.,Agent do spraw zakupów
12,333102,"Reprezentuje interesy właściciela statku, czuwając nad prawidłową obsługą statku w porcie oraz terminowym jego wejściem i wyjściem, załatwia wszelkie zlecenia dotyczące ładunków, finansów i zaopatrzenia statku.",Agent klarujący
13,332101,Oferuje i zawiera w imieniu i na rachunek ubezpieczyciela (towarzystwa ubezpieczeniowego) umowy w zakresie ubezpieczeń majątkowych i osobowych.,Agent ubezpieczeniowy
14,211303,"Zajmuje się produkcją substancji i preparatów chemicznych na potrzeby rolnictwa; wykonuje prace z zakresu nawożenia, a także zajmuje się niektórymi aspektami ochrony roślin i żywienia zwierząt oraz z zakresu zagospodarowywania odpadów powstałych w trakcie produkcji rolno-spożywczej.",Agrochemik
15,334301,"Świadczy pomoc posłowi zatrudnionemu w jednym z trzech miejsc pracy Parlamentu Europejskiego (Bruksela, Luksemburg lub Strasburg);
przygotowuje materiały do wystąpień poselskich;
bierze udział w posiedzeniach komisji parlamentarnych;
organizuje konferencje prasowe;
doradza i reprezentuje posła na spotkaniach z mediami, wyborcami i organizacjami politycznymi i społecznymi.",Akredytowany asystent parlamentarny
16,343501,"Wykonuje pokazy akrobatyczne oraz zestawy ewolucji cyrkowych, konnych, rowerowych, motocyklowych, narciarskich itd., oraz napowietrznych (na desce, na spadochronie), indywidualnie lub zespołowo, zwykle wysoko, pod kopułą cyrku; używa różnych przyrządów i rekwizytów; współpracuje z choreografem i kostiumologiem; dba o kondycję fizyczną.",Akrobata
17,265501,"Uprawia zawodowo sztukę aktorską, grając role w przedstawieniach teatralnych (teatr dramatyczny, teatr lalek, pantomima), estradowych, w filmie, radiu i telewizji; wykorzystuje w budowaniu postaci scenicznych swoją osobowość psychofizyczną oraz umiejętności: operowania głosem, ciałem, współgrania z innymi, dialogu z partnerem, zachowania się w określonym stylu, zgodnym z daną epoką, posługiwania się współczesną techniką gry aktorskiej, w celu przedstawienia postaci zgodnie z koncepcją artystyczną roli.",Aktor
18,343502,"Bawi widzów podczas przedstawień cyrkowych wykonując numery akrobatyczne, ewolucje na różnych przyrządach, prowadząc pokazy iluzjonistyczne, przedstawiając scenki komiczne, żonglując różnymi przedmiotami, popisując się tresurą różnorodnych zwierząt.",Aktor cyrkowy
19,265502,"Uprawia zawodowo sztukę poruszania lalkami (np. marionetkami, pacynkami itp.) i przedstawiania za ich pomocą treści sztuki; użycza lalce głosu.",Aktor lalkarz
20,343601,"Występuje na scenie teatralnej i estradzie w roli aktora i solisty-wokalisty, jak również w zespole wokalnym, chórze lub zespole tanecznym.",Aktor scen muzycznych
21,212001,"Opracowuje wzory i podstawy matematyczne kalkulacji składek, opiniuje projekty taryf i zasady techniczne wszystkich rodzajów ubezpieczeń.",Aktuariusz
22,323001,"Akupunkturzysta ocenia stan bioenergetyczny organizmu człowieka oraz eliminuje jego zaburzenia.
Akupunkturzysta jest zawodem o charakterze usługowym. Sferą działania akupunkturzysty są punkty akupunktury, tj. punkty biologicznie aktywne rozmieszczone na powłokach całego ciała. Przed wykonaniem zabiegu akupunkturzysta przeprowadza wywiad z pacjentem uzyskując informacje pozwalające określić przyczynę choroby i jej lokalizację narządowo-energetyczną oraz ustala historię choroby. Określa zaburzenia bioenergetyczne korzystając z tradycyjnych metod diagnozowania, takich jak badanie tętna, oględziny języka, analiza twarzy (układ bruzd, zmarszczek, kształtu, przebarwień, znamion oraz ich lokalizacji), oceny charakteru głosu i zapachu pacjenta. Akupunkturzysta wkłuwa igły w ściśle określone punkty w ciele pacjenta i pozostawia je na 20–40 minut. W celu zwiększenia efektu terapeutycznego stosuje również zabiegi takie, jak: elektroakupunktura, moxa, bańki. Akupunkturzysta informuje pacjenta o możliwości wystąpienia przesilenia chorobowego lub wystąpienia innych objawów w postaci senności i zasinienia w miejscach wykonywania zabiegu.",Akupunkturzysta
23,524301,"Pozyskuje nowych klientów i prowadzi bezpośrednią sprzedaż różnego typu towarów i usług konsumentom, zazwyczaj w domu klienta, miejscu pracy lub w biurach, urzędach, na imprezach na wolnym powietrzu, poza stałymi punktami sprzedaży detalicznej;
prowadzi osobistą prezentację produktu i udziela wyjaśnień przy pomocy różnego rodzaju materiałów reklamowych i promocyjnych takich jak: katalogi, próbki oferowanych towarów, ulotki, foldery, gadżety (długopisy, kalendarze, smycze do kluczy, koszulki, czapeczki z nazwą i logo firmy).",Akwizytor
24,713301,"Instaluje reklamy i inne urządzenia na wysokich budynkach, kominach, wieżach i masztach , czyści, maluje, uszczelnia, remontuje ich elewacje posługując się specjalistycznym sprzętem będącym w wyposażeniu obiektu lub typowym sprzętem alpinistycznym (liny, haki, wciągarki, raki itp.) w celu poruszania się w pionie lub poziomie.",Alpinista przemysłowy
25,252102,"Odpowiada za raportowanie danych z systemów informatycznych;
zajmuje się wsparciem użytkowników baz danych poprzez sporządzanie analiz na podstawienie dostępnych danych zgromadzonych w systemach informatycznych;
bierze udział w optymalizacji struktury baz danych oraz podejmuje działania na rzecz usprawnienia systemów informatycznych pod kątem raportowania z nich niezbędnych danych do sporządzenia analizy.",Analityk baz danych
26,242112,"Zajmuje się identyfikacją, analizami i weryfikacją potrzeb biznesowych; prowadzi badania, ocenia oraz dokumentuje modele biznesowe; udoskonala procesy i wprowadza zmiany organizacyjne; planuje strategie i rozwój polityki biznesowej; rozwiązuje problemy biznesowe związane z procedurami działania organizacji, przedsiębiorstw, instytucji itd.",Analityk biznesowy
27,241306,"Uczestniczy w tworzeniu strategii finansowych krótko i długoterminowych oraz w przygotowaniu budżetu i kontroli jego realizacji; wspomaga proces podejmowania decyzji związanych z kapitałem, sporządza analizy finansowe, opracowuje hipotezy i warianty rozwiązań, przedstawia ich ocenę i proponuje rozwiązania końcowe; współpracuje z instytucjami finansowymi.",Analityk finansowy
28,241301,"Analityk giełdowy przygotowuje analizy i rekomendacje na potrzeby procesu podejmowania decyzji inwestycyjnych.
Celem pracy analityka giełdowego jest gromadzenie, weryfikacja i analiza danych z zakresu rynków i instrumentów finansowych, informacji i trendów ogólnogospodarczych oraz wyciąganie syntetycznych wniosków na potrzeby procesu podejmowania decyzji dotyczących inwestycji bądź usług doradczych. Analityk giełdowy wykonuje swoją pracę na rzecz instytucji finansowych (banki, towarzystwa ubezpieczeniowe, biura i domy maklerskie, firmy zarządzające aktywami takie jak fundusze inwestycyjne, emerytalne), przedsiębiorstw i inwestorów instytucjonalnych i indywidualnych zarówno na potrzeby wewnętrzne pracodawcy, jak i dla jego klientów. Efektami prac analityka giełdowego są sporządzane okresowo bądź na bieżąco raporty i analizy dotyczące sytuacji makroekonomicznej, sektorowej, analizowanego przedsiębiorstwa bądź specyficznego zagadnienia. U podstaw realizowanych zadań leży konieczność dostarczenia precyzyjnych wniosków agregujących zanalizowane dane nakierowanych na proces podejmowania trafnych decyzji przez ich odbiorców (zarządzających aktywami bądź ryzykiem, inwestorów, klientów, regulatorów).",Analityk giełdowy
29,262201,"Analityk informacji i raportów medialnych analizuje informacje ze środków masowego przekazu i na ich podstawie przygotowuje raport o przedmiocie analizy.
Celem pracy analityka informacji i raportów medialnych jest zbadanie i ocenienie wizerunku medialnego danego tematu, osób i podmiotów, a także zjawisk, wydarzeń i procesów, w tym również znalezienie odpowiedzi na pytanie, jak są one przedstawiane przez środki masowego przekazu. W tym celu dokonuje selekcji, klasyfikacji i analizy danych z mediów i materiałów opublikowanych w środkach masowego przekazu (np. w artykułach, reklamach) pod kątem wcześniej określonych kategorii oceny. Do jego zadań należy również kontrola gromadzonych danych. Na podstawie wykonanych przez siebie analiz ilościowych i jakościowych analityk informacji i raportów medialnych przygotowuje raporty, które są głównym wytworem jego pracy. Raport jest autorskim opracowaniem wykonanym na podstawie doświadczenia analityka i jego wiedzy na temat specyfiki badanego zjawiska. Zawiera interpretację danych z analizy przekazów i weryfikuje hipotezy postawione na początku badania. Obowiązkiem analityka informacji i raportów medialnych jest rzetelne nakreślenie wizerunku medialnego badanego zjawiska. Dane, prognozy i rekomendacje z raportów są następnie udostępniane osobom odpowiedzialnym za komunikację z mediami, public relations, marketing i reklamę oraz wspomagają proces podejmowania decyzji przez kadrę kierowniczą.",Analityk informacji i raportów medialnych
30,241311,"Zajmuje się przeprowadzaniem analiz inwestycyjnych, pozyskiwaniem danych finansowych, opracowywaniem modeli finansowych oraz opracowywaniem dla klientów raportów i rekomendacji w zakresie planowanych inwestycji; odpowiada za projektowanie i realizację projektów inwestycyjnych przy ścisłej współpracy z klientem indywidualnym lub instytucjonalnym.",Analityk inwestycyjny
31,241302,"Analityk kredytowy bada zdolność kredytową wnioskodawcy, ocenia poziom ryzyka transakcji, proponowane zabezpieczenie, poziom ryzyka związanego z zabezpieczeniem kredytu, określa warunki transakcji kredytowej, monitoruje sytuację ekonomiczną kredytobiorcy i rynku.
Celem pracy analityka kredytowego jest oszacowanie ryzyka kredytowego instytucji finansowej udzielającej kredytu/gwarancji. Głównym zadaniem analityka kredytowego jest kompletowanie i weryfikacja merytoryczna dokumentów prawnych i finansowych załączanych do wniosku kredytowego. Analityk kredytowy wykonuje pracę na rzecz instytucji finansowej, sprawdza wiarygodność wnioskodawcy w zewnętrznych i wewnętrznych bazach danych. Jego obowiązkiem jest ocena sytuacji ekonomiczno-finansowej wnioskodawcy oraz określenie jego zdolności płatniczej do regulowania zobowiązań. Przeprowadza analizę ryzyka związanego z finansowaną transakcją, jak również ocenia jakość zabezpieczeń, adekwatność do skali ponoszonego ryzyka. Zajmuje się ustalaniem grupy klientów powiązanych pod względem kapitałowym i organizacyjnym ponoszących wspólne ryzyko w operacjach finansowych. Rekomenduje i ustala warunki finansowania transakcji (tj. udzielania kredytu, gwarancji itp.) oraz rekomenduje i podejmuje decyzje kredytowe, monitoruje ryzyko w okresie kredytowania.",Analityk kredytowy
32,242301,"Analityk pracy zbiera i opracowuje informacje o stanowiskach pracy, analizuje ich efektywność oraz inicjuje zmiany w celu usprawnienia funkcjonowania systemu pracy.
Analityk pracy jest zawodem wspierającym procesy zarządzania zasobami ludzkimi w przedsiębiorstwie. Zadaniem analityka pracy jest badanie i opisywanie relacji zachodzących pomiędzy środowiskiem materialnym, organizacyjnym i społecznym w danej organizacji. Analityk pracy gromadzi dane o stanowiskach pracy, klasyfikuje i określa standardy realizowanych zadań, opracowuje charakterystyki stanowisk pracy, specjalności i zawodów, stosuje metody wartościowania pracy i ocenia efektywność pracy ludzkiej, bada związki pomiędzy zachowaniem pracownika a jego wydajnością pracy. Opracowuje zasady wynagradzania i stawki wynagrodzeń, przygotowuje raporty o optymalizacji zatrudnienia i rekomenduje zmiany. Wdraża i kontroluje zatwierdzone zmiany. Stanowisko analityka pracy funkcjonuje zarówno w sektorze prywatnym, jak i państwowym. Analityk pracy może pracować jako konsultant w obszarze systemów wynagradzania, zarządzania zasobami ludzkimi, w tym zarządzania zmianą, oraz w zakresie organizowania i projektowania procesu pracy. Może pracować na stanowiskach naukowych w obszarze analiz procesów pracy.",Analityk pracy
33,262202,"Analityk ruchu na stronach internetowych analizuje ruch w serwisie internetowym i podejmuje działania mające na celu jego optymalizację w zakresie ilościowym i jakościowym.
Analityk ruchu na stronach internetowych jest zawodem o charakterze usługowym, celem jego działania jest zbieranie i analizowanie informacji o ruchu na stronach internetowych. Analityk zbiera i gromadzi informacje o tym, skąd odwiedzający trafili na daną stronę, jak poruszali się po witrynie, które zasoby strony najczęściej odwiedzali, jak dużo czasu spędzali na stronie oraz jakie pliki pobierali. Zgromadzone informacje analityk poddaje analizie i na jej podstawie wnioskuje o modyfikacji serwisu internetowego w zakresie zgromadzonych treści lub technologii wykorzystanych do budowy strony. Na podstawie ciągłej obserwacji ruchu na stronach internetowych dodatkowym efektem pracy analityka jest możliwość prognozowania trendów w zakresie ruchu na stronach. Wykonane analizy oraz wypracowane wnioski analityk przedstawia najczęściej w formie raportów, które są podstawą do: pomiaru efektywności podejmowanych działań marketingowych, identyfikacji najbardziej i najmniej efektywnych obszarów strony, analizy skuteczności wykorzystywanych narzędzi sprzedaży, zdefiniowania najbardziej i najmniej efektywnych odsyłaczy na stronie, dostosowania zawartości strony do określonej grupy docelowej. Analityk ruchu na stronie internetowej bierze również udział w badaniach mających na celu optymalizację wydajności aplikacji internetowych oraz wyglądu strony. Celem tych badań jest pozyskanie jak największej liczby unikalnych użytkowników serwisu internetowego. Efektem tych badań jest poprawienie wyników sprzedaży produktów bądź usług, jak również rozpowszechnienia określonej idei czy popularyzacji wybranych postaw (kampanie społeczne itp.).",Analityk ruchu na stronach internetowych
34,252301,"Zarządza pracą sieci komputerowej w zakładach przemysłowych, jednostkach handlowych i administracyjnych lub innych instytucjach, w zakresie działania sprzętu i pracowników przy nim zatrudnionych, posługując się dokumentacją techniczno-programową pracy sieci oraz regulaminami i instrukcjami stanowiskowymi, wykorzystując narzędzia (programy) dostarczone przez producenta sieci; zapewnia bezawaryjną pracę sprzętu w sieci, jak również samej sieci w zakresie programowo-informacyjnym oraz bezpieczeństwa, tj. zapewnia ochronę haseł i dostęp do sieci",Analityk sieci komputerowych
35,251101,"Analityk systemów teleinformatycznych analizuje możliwości zastosowania rozwiązań teleinformatycznych w celu automatyzacji wybranych procesów.
Celem pracy analityka systemów teleinformatycznych jest analiza funkcjonowania technologii informatycznych w kontekście konkretnego zastosowania. Analityk współpracuje z klientem w celu opisania procesów biznesowych, jakie funkcjonują w danym przedsiębiorstwie. Ustala, które procesy mogą być zautomatyzowane. Na bazie modelu biznesowego przygotowuje analizę systemową zawierającą opisy funkcjonalne, niefunkcjonalne oraz procesowe systemu wraz z określeniem jego istotnych warunków i ograniczeń. Analityk swoje prace dokumentuje zgodnie z przyjętymi standardami (notacją). Efektem pracy jest dokumentacja opisująca wymagania klienta, pozwalająca na przygotowanie projektu i rozpoczęcie procesu tworzenia oprogramowania. Powstałe analizy konsultuje z przedstawicielami i zespołami zamawiającego i wykonującego system. W procesie tworzenia oprogramowania reprezentuje klienta wobec projektantów i programistów. Analityk jest odpowiedzialny za prawidłowe zinterpretowanie potrzeb biznesowych oraz ich przełożenie na wymagania funkcjonalne i jakościowe, aby dostarczone rozwiązanie systemowe odpowiadało przedstawionym potrzebom.",Analityk systemów teleinformatycznych
36,243101,"Obserwuje istniejące i przewiduje nadchodzące trendy rynkowe w modzie, w stylu życia i kulturze: w muzyce, w filmach, telewizji, w gadżetach elektronicznych;
bada opinie społeczne w odniesieniu do konkretnego produktu: żywności, napojów, alkoholu, papierosów;
analizuje trendy i styl życia osób młodych w wieku 12 - 30 lat, na zlecenie danej firmy produkującej lub dystrybuującej produkt;
pozyskuje opinie klientów o produktach i cechach w naturalnym otoczeniu zbierając informacje w ukryciu i pozostając osobą anonimową.",Analityk trendów rynkowych (cool hunter)
37,235101,"Prowadzi badania ukierunkowane na kształcenie dorosłych; organizuje i inspiruje aktywność edukacyjną człowieka dorosłego podejmowaną w systemie edukacji ustawicznej formalnej, pozaformalnej i nieformalnej w różnych środowiskach: społecznościach lokalnych, środowisku pracy, grupach nieformalnych; planuje i prowadzi zajęcia dydaktyczne dla dorosłych; realizuje cele polityki edukacyjnej państwa w zakresie rozwoju kapitału ludzkiego i społecznego.",Andragog
38,235916,"Wspiera, inicjuje i organizuje zajęcia w czasie wolnym dla młodzieży zagrożonej uzależnieniami, przestępczością, agresją, prostytucją, pozbawionej opieki przez rodziców; prowadzi warsztaty i zajęcia w świetlicach środowiskowych, w klubach, w placówkach edukacji pozaszkolnej i nieformalnej oraz na ulicach; współpracuje ze szkołą i społecznościami lokalnymi; organizuje pomoc i wsparcie przez służby socjalne i placówki opieki zdrowotnej.",Animator czasu wolnego młodzieży (pracownik młodzieżowy)
39,242201,Inicjuje i promuje rozwój małych i średnich przedsiębiorstw; pomaga przedsiębiorcom w podejmowaniu lub rozwijaniu działalności gospodarczej.,Animator gospodarczy do spraw przedsiębiorczości
40,242202,"Inicjuje i promuje rozwój regionalny; pomaga jednostkom administracji terenowej, instytucjom proinnowacyjnym oraz przedsiębiorstwom w podejmowaniu i realizacji inicjatyw związanych z rozwojem społecznym i gospodarczym regionu.",Animator gospodarczy do spraw rozwoju regionalnego
41,343901,"Inicjuje, organizuje i upowszechnia kulturę i sztukę w publicznych palcówkach kulturalno-oświatowych oraz w środowisku lokalnym; kształtuje upodobania i zainteresowania kulturalne i artystyczne różnych grup społecznych; wspomaga artystyczną twórczość amatorską.",Animator kultury
42,342311,"Zajmuje się organizacją czasu wolnego osób (w różnym wieku) przebywających w ośrodkach wczasowych, turystycznych, sanatoryjnych itp., w tym: planowaniem, organizowaniem i prowadzeniem zajęć animacyjnych (sportowych, plastycznych, teatralnych, muzycznych itp.) oraz imprez rekreacyjno-sportowych sprzyjających wypoczynkowi, wzmacnianiu zdrowia i osiąganiu dobrej kondycji psychofizycznej; może podejmować działania w zakresie promocji zdrowego stylu życia w różnych placówkach, środowiskach i społecznościach lokalnych (np. świetlicach środowiskowych, klubach sportowych, domach kultury, centrach odnowy biologicznej itp.).",Animator rekreacji i organizacji czasu wolnego
43,422701,"Przeprowadza wywiady bezpośrednie, telefoniczne, uliczne i grupowe lub ankietowe badania audytoryjne posługując się narzędziami do zbierania danych przygotowanymi przez zespół badawczy realizujący badania opinii społecznej, badania zachowań konsumenckich, odbioru reklamy itp.",Ankieter
44,263205,"Bada zmienność cech biologicznych człowieka w czasie i w przestrzeni oraz wpływ, jaki na ową zmienność wywierają czynniki genetyczne, środowiska naturalnego i społeczno-kulturowego.",Antropolog
45,522101,"Zajmuje się skupowaniem oraz sprzedażą przedmiotów sztuki dawnej - antyków, przede wszystkim dzieł rzemiosła artystycznego, mebli, książek itp.",Antykwariusz
46,813101,"Obsługuje i nadzoruje aparaturę chemiczną o działaniu ciągłym lub okresowym do prowadzenia alkilacji, chlorowania, nitrowania, sulfonowania, kondensacji, polimeryzacji, elektrolizy i innych procesów chemicznych i fizykochemicznych, w celu otrzymania określonych związków chemicznych, przeważnie w wielotonażowej produkcji.",Aparatowy procesów chemicznych
47,816001,"Obsługuje i nadzoruje urządzenia do produkcji drożdży piekarskich oraz prowadzi proces produkcyjny zgodnie z obowiązującymi instrukcjami i procedurami, przestrzegając właściwych warunków higieniczno-sanitarnych, przepisów bhp i ochrony środowiska.",Aparatowy produkcji drożdży
48,816002,"Obsługuje i nadzoruje urządzenia do produkcji octu; prowadzi proces produkcji w oparciu o obowiązującą dokumentację (normy, specyfikacje, procedury, instrukcje), przestrzegając przepisów higieniczno-sanitarnych, bhp i ppoż.",Aparatowy produkcji octu
49,814101,"Obsługuje i nadzoruje urządzenia mechaniczne, półautomatyczne i automatyczne do sporządzania mieszanek lateksowych oraz wytwarzania gumowych wyrobów maczanych, np. gumowych rękawic chirurgicznych i technicznych, czepków kąpielowych, balonów, prezerwatyw, dętek do piłek i innych.",Aparatowy produkcji wyrobów maczanych
50,263201,"Zajmuje się badaniem i rekonstruowaniem minionych kultur, dziejów, a nawet wydarzeń z przeszłości na podstawie źródeł archeologicznych, historycznych i in.; poszukiwaniem, badaniem, dokumentowaniem, zabezpieczaniem i udostępnianiem światu naukowemu oraz szerokiej publiczności materialnych pozostałości przeszłości, będących tworami człowieka (zwanych dalej zabytkami)",Archeolog
51,216101,"Opracowuje programy funkcjonalno-przestrzenne i projekty planów budowy, rozbudowy i modernizacji obiektów budowlanych lub ich części wraz z przyległym terenem; pełni kontrolę nad realizacją projektowanych obiektów w ramach nadzoru autorskiego i budowlanego; prowadzi studia i badania nad praktycznym wykorzystaniem w budownictwie wyników prac z innych dziedzin: inżynierii budowlanej, materiałowej i sanitarnej, ergonomii, socjologii, psychologii, ekonomiki budownictwa itp.",Architekt
52,216201,"Opracowuje programy i projekty ochrony i kształtowania krajobrazu oraz projekty budowy i modernizacji obiektów architektury krajobrazu, w celu zachowania i rozwijania projektowanych obiektów w ramach nadzoru autorskiego; prowadzi studia i badania nad praktycznym wykorzystaniem w dziedzinie architektury krajobrazu wyników prac z innych dziedzin.",Architekt krajobrazu
53,251301,"Odpowiada za strukturę i komunikację witryny internetowej;
zajmuje się wykonaniem zgodnie z otrzymanymi założeniami stron internetowych w języku opisu strony z zastosowaniem odpowiednich języków programowania, skryptów oraz technik dynamicznego renderowania warstwy informacyjnej;
wprowadza funkcje wpływające na poprawę użyteczności działających stron zgodnie z wytycznymi zleceniodawcy.",Architekt stron internetowych
54,216102,"Opracowuje programy funkcjonalno-przestrzenne i projekty wnętrz obiektów w fazie projektowania architektonicznego oraz przebudowy, modernizacji i adaptacji wnętrz istniejących; pełni kontrolę nad realizacją projektowanych wnętrz; prowadzi studia i badania nad praktycznym wykorzystaniem w budownictwie nowych materiałów wykończeniowych oraz technologii prowadzenia prac wnętrzarskich, a także systemów oświetleniowych, urządzeń i systemów wentylacji, zabezpieczeń ppoż. i antywłamaniowych.",Architekt wnętrz
55,216202,"Opracowuje programy oraz projekty aranżacji powierzchni i rozmieszczania zielonych kompozycji oraz zieleni wewnątrz budynków o walorach dekoracyjnych w apartamentach, loftach, domach, rezydencjach oraz wnętrzach użyteczności publicznej: w restauracjach, hotelach, biurach, sklepach, galeriach handlowych itp.;
wyposaża w zieleń tarasy i ogrody zimowe, fasady budynków (tzw. ogrody wertykalne) oraz ogrody na dachach itp.);
współpracuje z architektem wnętrz oraz ogrodnikami przy realizacji projektu;
nadzoruje wykonawstwo projektu;
określa zasady pielęgnacji roślin.",Architekt zieleni wewnątrz budynków
56,262101,"Przejmuje, przechowuje, porządkuje, zabezpiecza i udostępnia materiały archiwalne w sieci lub poza siecią archiwów państwowych.",Archiwista
